"code","name"
"03920","Kiskiminetas Township"
"03921","Kittanning Township"
"03922","Madison Township"
"03923","Mahoning Township"
"03924","Manor Township"
"03925","Manorville Borough"
"03926","North Apollo Borough"
"03927","North Buffalo Township"
"03928","Parker City"
"03929","Parks Township"
"03930","Perry Township"
"03931","Pine Township"
"03932","Plumcreek Township"
"03933","Rayburn Township"
"03934","Redbank Township"
"03935","Rural Valley Borough"
"03936","South Bend Township"
"03937","South Bethlehem Borough"
"03938","South Buffalo Township"
"03939","Sugar Creek Township"
"03940","Valley Township"
"03941","Washington Township"
"03942","Wayne Township"
"03943","West Franklin Township"
"03944","West Kittanning Borough"
"03945","Worthington Borough"
"04001","Aliquippa Borough"
"04002","Ambridge Borough"
"04003","Beaver Falls"
"04004","Ellwood City Borough"
"04805","Baden Borough"
"04806","Beaver Borough"
"04807","Vanport Township"
"04808","Economy Borough"
"04809","Freedom Borough"
"04810","Harmony Township"
"04811","Midland Borough"
"04812","Monaca Borough"
"04813","New Brighton Borough"
"04814","Patterson Township"
"04815","Rochester Borough"
"04816","Rochester Township"
"04917","Big Beaver Borough"
"04918","Bridgewater Borough"
"04919","Brighton Township"
"04920","Center Township"
"04921","Chippewa Township"
"04922","Conway Borough"
"04923","Darlington Borough"
"04924","Darlington Township"
"04925","Daugherty"
"04926","East Rochester Borough"
"04927","Eastvale Borough"
"04928","Fallston Borough"
"04929","Frankfort Springs Borough"
"04930","Franklin Township"
"04931","Georgetown Borough"
"04932","Glasgow Borough"
"04933","Greene Township"
"04934","Hanover Township"
"04935","Homewood Borough"
"04936","Hookstown Borough"
"04937","Hopewell Township"
"04938","Independence Township"
"04939","Industry Borough"
"04940","Koppel Borough"
"04941","Marion Township"
"04942","New Galilee Borough"
"04943","New Sewickley Township"
"04944","North Sewickley Township"
"04945","Ohioville Borough"
"04946","Patterson Heights Borough"
"04947","Potter Township"
"04948","Pulaski Township"
"04949","Racoon Township"
"04950","Shipppingport Borough"
"04951","South Beaver Township"
"04952","South Heights Borough"
"04953","West Mayfield Borough"
"04954","White Township"
"05801","Bedford Borough"
"05902","Bedford Township"
"05903","Bloomfield Township"
"05904","Broad Top Township"
"05905","Coaldale Borough"
"05905","Six Mile Run"
"05906","Colerain Township"
"05907","Centerville"
"05907","Cumberland Valley Township"
"05908","Breezewood"
"05908","East Providence Township"
"05909","East St. Clair Township"
"05910","Everett Borough"
"05911","Harrison Township"
"05912","Hopewell Borough"
"05913","Hopewell Township"
"05914","Hyndman Borough"
"05915","Juniata Township"
"05916","Kimmell Township"
"05916","Queen"
"05917","King Township"
"05917","Imler"
"05918","Liberty Township"
"05919","Lincoln Township"
"05920","Londonderry Township"
"05921","Mann Township"
"05922","Manns Choice Borough"
"05923","Monroe Township"
"05924","Napier Township"
"05925","New Paris Borough"
"05926","Alum Bank"
"05926","Pleasantville Borough"
"05927","Rainsburg Borough"
"05928","Saxton Borough"
"05929","Schellsburg Borough"
"05930","Snake Spring Township"
"05931","New Enterprise"
"05931","South Woodbury Township"
"05932","Southampton Township"
"05933","St. Clairsville Borough"
"05934","Union Township"
"05935","West Providence Township"
"05936","West St. Clair Township"
"05937","Woodbury Borough"
"05938","Woodbury Township"
"06001","Reading"
"06802","Birdsboro Borough"
"06803","Boyertown Borough"
"06804","Fleetwood Borough"
"06805","Hamburg Borough"
"06806","Kenhorst Borough"
"06807","Kutztown Borough"
"06808","Laureldale Borough"
"06809","Lower Alsace Township"
"06810","Mt. Penn Borough"
"06811","Shillington Borough"
"06812","West Reading Borough"
"06813","Wyomissing Borough"
"06914","Adamstown Borough"
"06915","Albany Township"
"06916","Alsace Township"
"06917","Amity Township"
"06918","Bally Borough"
"06919","Bechtelsville Borough"
"06920","Greenvields"
"06920","Bern Township"
"06921","Bernville Borough"
"06922","Bethel Township"
